date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:30	70/70	---M-Z	200	added ('OK')	text/plain	date:Sun,%2002%20Apr%202023%2013:18:27%20GMT	https://khaitriag.edu.vn/robots.txt		(from )
20:18:32	290270/290270	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Apr%202023%2013:18:30%20GMT	https://khaitriag.edu.vn/	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/index.html	(from )
20:18:34	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2002%20Apr%202023%2013:18:31%20GMT	https://khaitriag.edu.vn/xmlrpc.php	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/xmlrpc.php	(from https://khaitriag.edu.vn/)
20:18:34	339641/339641	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Mar%202023%2013:22:05%20GMT	https://khaitriag.edu.vn/wp-content/uploads/2023/03/KTT_banner.jpg	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/uploads/2023/03/KTT_banner.jpg	(from https://khaitriag.edu.vn/)
20:18:34	80574/80574	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Sep%202021%2005:53:58%20GMT	https://khaitriag.edu.vn/wp-includes/css/dist/block-library/style.min.css?ver=5.8.6	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-includes/css/dist/block-library/style.min6281.css	(from https://khaitriag.edu.vn/)
20:18:34	20766/20766	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Jun%202022%2002:03:47%20GMT	https://khaitriag.edu.vn/wp-content/plugins/tabs-responsive/assets/css/font-awesome/css/font-awesome.min.css?ver=5.8.6	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/plugins/tabs-responsive/assets/css/font-awesome/css/font-awesome.min6281.css	(from https://khaitriag.edu.vn/)
20:18:34	18546/18546	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Jun%202022%2002:03:47%20GMT	https://khaitriag.edu.vn/wp-content/plugins/tabs-responsive/assets/css/bootstrap-front.css?ver=5.8.6	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/plugins/tabs-responsive/assets/css/bootstrap-front6281.css	(from https://khaitriag.edu.vn/)
20:18:34	79068/79068	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Jun%202022%2002:03:47%20GMT	https://khaitriag.edu.vn/wp-content/plugins/tabs-responsive/assets/css/animate.css?ver=5.8.6	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/plugins/tabs-responsive/assets/css/animate6281.css	(from https://khaitriag.edu.vn/)
20:18:35	11926/11926	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Sep%202021%2007:57:54%20GMT	https://khaitriag.edu.vn/wp-content/plugins/h5p/h5p-php-library/styles/h5p.css?ver=1.15.3	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/plugins/h5p/h5p-php-library/styles/h5p84c3.css	(from https://khaitriag.edu.vn/)
20:18:35	19128/19128	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Apr%202022%2001:51:31%20GMT	https://khaitriag.edu.vn/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://khaitriag.edu.vn/)
20:18:35	108003/108003	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Jun%202022%2007:44:48%20GMT	https://khaitriag.edu.vn/wp-content/uploads/elementor/css/custom-frontend-lite.min.css?ver=1655883888	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/uploads/elementor/css/custom-frontend-lite.min6d2b.css	(from https://khaitriag.edu.vn/)
20:18:35	59344/59344	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Apr%202022%2001:51:31%20GMT	https://khaitriag.edu.vn/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.6.5	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min3ab2.css	(from https://khaitriag.edu.vn/)
20:18:35	26702/26702	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Apr%202022%2001:51:31%20GMT	https://khaitriag.edu.vn/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.6.5	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min3ab2.css	(from https://khaitriag.edu.vn/)
20:18:36	51334/51334	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Apr%202022%2001:52:53%20GMT	https://khaitriag.edu.vn/wp-content/themes/eduma/assets/css/ionicons.min.css?ver=5.8.6	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/themes/eduma/assets/css/ionicons.min6281.css	(from https://khaitriag.edu.vn/)
20:18:36	21935/21935	---MCZ	200	added ('OK')	application/rss+xml	etag:%22e483891db74f5518e72a0b855a875942%22	https://khaitriag.edu.vn/feed/	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/feed/index.html	(from https://khaitriag.edu.vn/)
20:18:36	8230/8230	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Apr%202022%2001:52:53%20GMT	https://khaitriag.edu.vn/wp-content/themes/eduma/assets/css/font-pe-icon-7.css?ver=5.8.6	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/themes/eduma/assets/css/font-pe-icon-76281.css	(from https://khaitriag.edu.vn/)
20:18:36	3241/3241	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Apr%202022%2001:52:53%20GMT	https://khaitriag.edu.vn/wp-content/themes/eduma/assets/css/flaticon.css?ver=5.8.6	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/themes/eduma/assets/css/flaticon6281.css	(from https://khaitriag.edu.vn/)
20:18:36	42948/42948	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Apr%202022%2001:52:53%20GMT	https://khaitriag.edu.vn/wp-content/themes/eduma/assets/css/linearicons.css?ver=5.8.6	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/themes/eduma/assets/css/linearicons6281.css	(from https://khaitriag.edu.vn/)
20:18:37	90035/90035	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Apr%202022%2001:52:53%20GMT	https://khaitriag.edu.vn/wp-content/themes/eduma/assets/css/line-awesome.min.css?ver=4.6.4	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/themes/eduma/assets/css/line-awesome.min82d0.css	(from https://khaitriag.edu.vn/)
20:18:37	709/709	---M-Z	200	added ('OK')	application/rss+xml	etag:%229b4e4c601f5cab965296da2bedddd8e5%22	https://khaitriag.edu.vn/comments/feed/	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/comments/feed/index.html	(from https://khaitriag.edu.vn/)
20:18:37	1131193/1131193	---M-Z	200	added ('OK')	text/css	date:Thu,%2028%20Apr%202022%2001:52:55%20GMT	https://khaitriag.edu.vn/wp-content/themes/eduma/style.css?ver=4.6.4	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/themes/eduma/style82d0.css	(from https://khaitriag.edu.vn/)
20:18:38	93350/93350	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Mar%202023%2007:56:27%20GMT	http://khaitriag.edu.vn/wp-content/uploads/tc_stylesheets/eduma.1680076587.css?ver=5.8.6	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-content/uploads/tc_stylesheets/eduma.16800765876281.css	(from https://khaitriag.edu.vn/)
20:18:38	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Sep%202021%2005:54:13%20GMT	https://khaitriag.edu.vn/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-includes/js/jquery/jquery.minaf6c.js	(from https://khaitriag.edu.vn/)
20:18:38	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Sep%202021%2005:54:13%20GMT	https://khaitriag.edu.vn/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/KhaiTri/khaitriag.edu.vn/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://khaitriag.edu.vn/)
